,year,month,date,client_id_num,client_id,cusip_num,cusip,broker_name_num,broker_name,si_firm_id,si_primary_firm_name,fds_broker_id,sale,redemption,unique_zip_count,hoa_sale,hoa_redemption,hoa_unique_zip_count,hhoa,home_office_activity,sale_std_dev_from_mean,redemption_std_dev_from_mean,unique_zip_count_std_dev_from_mean,day_of_week,fund_id,hoa_last_year
16687,2017.0,8.0,2017-08-28,24,PIMCO,4867,722005667,1998,Wells Fargo Advisors (PCG),83333,"WELLS FARGO ADVISORS, LLC",LMS46910,7679286.53,-21444.57,259,8861377.04,-23656.26,294.0,1.0,1,0.7071067811865475,0.7071067811865474,0.7071067811865475,0,FSUSA00GO1,0
16710,2017.0,8.0,2017-08-29,24,PIMCO,5004,72201M719,17951,Morgan Stanley Wealth Management,51410,MORGAN STANLEY,LMS29880,11197082.4,-1426852.97,226,11197082.4,-1426852.97,226.0,1.0,1,1.2607528170207751,0.30895264296893765,1.583170459528337,1,FSUSA07XD8,1
17036,2017.0,9.0,2017-09-11,24,PIMCO,7107,72201P175,151,Edward Jones,164,"EDWARD D. JONES & CO., L.P.",LMS13460,29206163.63,-102570.99,1969,29206163.63,-102570.99,1969.0,1.0,1,0.7071067811865475,-0.7071067811865475,0.7071067811865476,0,FSUSA0AOFK,0
18362,2017.0,10.0,2017-10-20,24,PIMCO,4943,72201M735,10969,STIFEL NICOLAUS,544,"STIFEL, NICOLAUS & COMPANY, INCORPORATED",LMS41260,5329.5,-39064792.3101,276,0.0,-39064792.3101,275.0,1.0,1,-0.5787557736831449,-1.1194554623073116,0.7803989725717078,4,FSUSA001ZK,1
18816,2017.0,11.0,2017-11-03,24,PIMCO,4883,693390601,101847,"Broadridge Business Process Outsourcing, LLC",22742,"BROADRIDGE BUSINESS PROCESS OUTSOURCING, LLC",LMS30100,50000.0,-6269987.37,1,50000.0,-6269987.37,1.0,1.0,1,-0.6309078286911916,0.03589808089538399,0.0,4,FSUSA001ZH,1
19088,2017.0,11.0,2017-11-13,24,PIMCO,4873,72201M552,581,Raymond James & Associates,477,"RAYMOND JAMES & ASSOCIATES, INC.",LMS36230,24522341.51,-126013.6,250,24522341.51,-126013.6,250.0,1.0,1,0.7071067811865476,0.7071067811865476,0.7071067811865476,0,FSUSA001ZG,1
19469,2017.0,11.0,2017-11-28,24,PIMCO,4866,693390700,174017,Chase Wealth Management,57,J.P. MORGAN SECURITIES LLC,LMS24110,19877659.69,-203346.78,885,19877659.69,-203346.78,885.0,1.0,1,10.694745467928364,1.2576588096928702,1.4680480410472592,1,FSUSA001ZG,1
19613,2017.0,12.0,2017-12-01,24,PIMCO,4997,693390841,174017,Chase Wealth Management,57,J.P. MORGAN SECURITIES LLC,LMS24110,1347027.31,-27940199.6503,1539,0.0,-27940199.6503,1527.0,1.0,1,-0.8434545843029895,-9.972711453269056,6.912638134145107,4,FSUSA001ZK,1
20977,2018.0,1.0,2018-01-10,24,PIMCO,4997,693390841,174052,AssetMark - PARENT,18111,"ASSETMARK, INC.",LMS18000,222201.22,-66810223.51,1,0.0,-66810223.51,1.0,1.0,1,-1.1363560317242578,-1.1545279739203997,0.0,2,FSUSA001ZK,1
21130,2018.0,1.0,2018-01-12,24,PIMCO,7107,72201P175,88923,Sand Hill Advisors,20214,"SAND HILL GLOBAL ADVISORS, LLC",LMS512360,0.0,-54073377.12,1,0.0,-54073377.12,1.0,1.0,1,-0.7071067811865475,-0.7071067811865476,0.0,4,FSUSA0AOFK,1
